,Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Fwd Packets/s,Bwd Packets/s,Flow IAT Max,Flow IAT Min,Flow IAT Mean,Flow IAT Std,Fwd IAT Max,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Total,Bwd IAT Max,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Total,Fwd PSH Flags,Bwd PSH Flags,Fwd Header Length,Bwd Header Length
Bwd Packet Length Max,0.008712013432749584,-0.019258514543911164,-0.04841019833080879,0.06975769284489293,0.0015302755345539668,0.598459945622073,0.002736161752412319,0.5920872094559027,0.0010324900512754679,-0.0162253483392932,-0.013529595366326386,0.20883121223176568,1.0,0.0750792383919316,0.7913379037366828,0.8985817434779106,-0.009996733893135934,-0.013776600893848004,-0.013145766843900356,0.0007016921959126562,0.0839445584073032,-1.2690798313988864e-05,0.005523401131349339,0.026448947752774322,0.08244162967541872,-1.530253766729995e-05,0.01386861789638482,0.03715518775861468,0.06874457640130316,0.15009871348089085,0.015513656698065315,0.03702816948372528,0.06911540323176045,0.2580188749902977,0.015890756705833214,,0.0008092613031153912,-0.004320009069495419
Bwd Packet Length Min,0.013982124238554995,-0.02695116219844925,4.241766540173488e-05,-0.002480688536272376,-0.00019464326310147234,0.024653029723215442,-0.005334954668125596,0.00316793988769754,-0.020194757455176415,-0.01995831138522151,-0.02013597662968381,-0.0006293004707832537,0.0750792383919316,1.0,0.3040841062901767,0.010833896728349467,-0.01471447555716479,-0.020285278273331184,-0.01936907518696303,0.004628840112683446,-0.0036692311659057477,2.5276759690093994e-05,-0.005718079779815129,-0.00536570737490677,-0.00387015498800984,-2.143063599009296e-05,-0.005428103705792208,-0.005258512203810019,-0.002559086963731871,0.0007234485624393437,0.051986676593728985,0.0007470819057767044,0.0007624207372882945,0.0005448233799421618,0.041100371461735855,,0.0010738099800518407,-0.062870105461889
Bwd Packet Length Mean,0.011685907102809721,-0.025377437206502207,-0.04858197353903356,0.04919670042609634,0.0012618759060583722,0.43202639188602115,8.773652978898636e-05,0.3592073014531831,-0.005304134440618232,-0.02075894335779716,-0.018181525718170714,0.19772955050023397,0.7913379037366828,0.3040841062901767,1.0,0.8833880105688005,-0.013332563341579534,-0.018373037125550894,-0.017536672516216226,0.0023312829933318548,0.06452508589862589,-7.034067960612892e-06,0.0014642583572795067,0.01754115526329011,0.06165694598431109,-2.0039668768272114e-05,0.00700300510314715,0.02475873356779407,0.04752850713177063,0.11532435957405383,0.028597652636102113,0.02479449239893464,0.04880659766386779,0.18285746056331803,0.03163966162195369,,0.0010530748496065056,-0.01842409580756884
Bwd Packet Length Std,0.009228490316251406,-0.021479402097384363,-0.05978785755615166,0.06997255742597801,0.001372412641517364,0.43261523482464515,0.002434610179954524,0.35682244035836974,0.0018007748615512023,-0.01833224653430046,-0.014929149173691961,0.25676858274592756,0.8985817434779106,0.010833896728349467,0.8833880105688005,1.0,-0.011090715144859207,-0.015280408076258335,-0.014582085274855522,0.0011574528710994044,0.08444771434432329,-1.777558517176314e-05,0.0058731468652007636,0.027579352561833803,0.08125150012666106,-1.7002972991696627e-05,0.014229386420145958,0.037540967040456646,0.06810838150046628,0.15188902865894144,0.01594682133799562,0.03883701276796723,0.07060969797749442,0.2595322698613569,0.018864213142820784,,0.0009078864476814516,2.684355429886028e-05
Flow Bytes/s,-0.4611285987095405,0.00015281339987073447,0.1735585432940682,-0.18069409005621767,-0.010584360409604903,-0.01301283514936794,-0.03175571264811394,-0.0013204119905262058,0.7557636838505004,0.7595496772150949,0.757756284622879,-0.18254595332715204,-0.009996733893135934,-0.01471447555716479,-0.013332563341579534,-0.011090715144859207,1.0,0.6605591944205318,0.6605814229583358,-0.0271731326871465,-0.3139572184920142,-0.0012450876982420423,-0.3540887472236117,-0.37169000396716073,-0.31396787704869505,-0.0012040379797071746,-0.3434843693540701,-0.3674407230389869,-0.180636938096794,-0.01736869707392506,-0.024080285440159842,-0.01648132087338628,-0.016758013162995074,-0.017336664335287792,-0.010621566315178247,,0.0056647910755849695,0.0016441388598656737
Flow Packets/s,-0.2248838895926909,0.0013679776840385461,-0.033958057951143275,-0.2490387605643521,-0.014302963631087275,-0.017627621016343263,-0.16070641384298312,-0.0018212361647291784,0.14729913499495823,0.16022664576672435,0.15267317490405038,-0.24660379064808496,-0.013776600893848004,-0.020285278273331184,-0.018373037125550894,-0.015280408076258335,0.6605591944205318,1.0,0.9999927088075382,-0.030419946698381523,-0.43270692136679967,-0.001719294030228307,-0.48801776051898366,-0.5122762923002013,-0.43272161954240834,-0.0016626726768022816,-0.47340243693659184,-0.5064197942518617,-0.24895999518462167,-0.023938036313203463,-0.03231394650846024,-0.0227150435176237,-0.0230964048871825,-0.023893792647847596,-0.0062432212827223145,,0.016425947517930337,0.0022657195190768655
Fwd Packets/s,-0.22201273189715517,0.001295682399167089,-0.007916907191918692,-0.23742948223398577,-0.013627924045186979,-0.016961425233746136,-0.15084420749080318,-0.0017379651857391317,0.15395148455970264,0.16601410257008967,0.15897568930750225,-0.23483198720578033,-0.013145766843900356,-0.01936907518696303,-0.017536672516216226,-0.014582085274855522,0.6605814229583358,0.9999927088075382,1.0,-0.03258038376081388,-0.41205134391308146,-0.001638495812281558,-0.46450020588689533,-0.4874790623945989,-0.4120652873606125,-0.0015845035446313228,-0.4506484807361385,-0.48193295638444794,-0.23735447430872292,-0.022835319675872507,-0.031233704887592164,-0.021668676005171347,-0.022032465700697633,-0.02279311408366776,-0.006217684169683839,,0.015051834773312475,0.0021615080766741804
Bwd Packets/s,0.002926846717788467,0.00017286028219172688,-0.14645940563816995,-0.006265063871812234,-0.0003808770926236086,0.04067307245113891,-0.010958107215825547,0.00012492445831307564,-0.045630625639336814,-0.044875632138962646,-0.04535619323216395,-0.006331289217489206,0.0007016921959126562,0.004628840112683446,0.0023312829933318548,0.0011574528710994044,-0.0271731326871465,-0.030419946698381523,-0.03258038376081388,1.0,-0.010872925955344486,-4.257881500415802e-05,-0.012257336231192632,-0.012863682127870306,-0.010874418383129874,-3.6463485842899054e-05,-0.011892906436338224,-0.01271868914900802,-0.006263576906348691,-0.0006015201998443571,0.11442409018464447,-0.0005709678589485973,-0.0005808398736348147,-0.0005998416142788402,0.005658160142967472,,0.00222479459425555,1.513153584892532e-05
Flow IAT Max,0.25161364290967975,-0.004607780689584376,-0.17272779699829974,0.857544742878246,0.0011412032646715498,0.08418883792023361,-0.016968890702937882,0.016688986412563757,-0.18115767419678674,-0.1787421443234606,-0.18173343039114317,-0.03292562550951171,0.0839445584073032,-0.0036692311659057477,0.06452508589862589,0.08444771434432329,-0.3139572184920142,-0.43270692136679967,-0.41205134391308146,-0.010872925955344486,1.0,0.012679276509726261,0.9598017240792892,0.96415283304213,0.9994361855821412,0.012720151655167577,0.9715461455550646,0.9696188516711938,0.8571439751856639,0.2666017889738942,0.06683775268226431,0.2266065657311339,0.23972616351925263,0.2658700349663147,0.022373716443978234,,0.005639725100996177,0.000630231907705107
Flow IAT Min,-0.001330573758288934,-0.0005159459218986795,-0.004308033572189838,0.006657678957268692,-1.1546273497343284e-05,4.91141029756175e-05,-0.00031913652931024914,-2.1253973402133474e-06,-0.0011873758155933588,-0.0012386090762727786,-0.0012166393413073158,0.0019250072168912448,-1.2690798313988864e-05,2.5276759690093994e-05,-7.034067960612892e-06,-1.777558517176314e-05,-0.0012450876982420423,-0.001719294030228307,-0.001638495812281558,-4.257881500415802e-05,0.012679276509726261,1.0,0.04116556230292991,0.0004698358845989106,0.012678606469213463,0.9966575609770026,0.039504143689608355,0.0004611538535346897,0.006656128204992724,-2.837687306054994e-05,-3.7513764705479696e-05,-2.6959874784127664e-05,-2.7403284667374212e-05,-2.824618618270684e-05,0.025005886813972894,,5.908344745359145e-05,2.605399259514246e-06
Flow IAT Mean,0.29123137230958146,-0.001831138362108393,-0.14191180069179699,0.8118916423376367,0.0006933808146451914,0.026526614859380893,-0.0146085355450951,-3.9831238522142466e-05,-0.19530362908850488,-0.18970647989652986,-0.19341184699402608,-0.0684573186491787,0.005523401131349339,-0.005718079779815129,0.0014642583572795067,0.0058731468652007636,-0.3540887472236117,-0.48801776051898366,-0.46450020588689533,-0.012257336231192632,0.9598017240792892,0.04116556230292991,1.0,0.9856460175263153,0.9595062057968102,0.041125846785222415,0.9946260219292259,0.9813191723074501,0.81167817524308,0.14440518976980402,0.050536113533234145,0.15068986369997395,0.14986189101627323,0.12487519145608868,0.0023489735064305675,,0.005091901203513915,0.0007101719116714007
Flow IAT Std,0.3096310583415656,-0.0028268062093407993,-0.1241256090098622,0.7519029920231617,0.00034827241010733443,0.03679654214141976,-0.01767463930910023,0.002184825147513177,-0.1986625574288969,-0.19351638564099186,-0.197281120771107,-0.06443226707815512,0.026448947752774322,-0.00536570737490677,0.01754115526329011,0.027579352561833803,-0.37169000396716073,-0.5122762923002013,-0.4874790623945989,-0.012863682127870306,0.96415283304213,0.0004698358845989106,0.9856460175263153,1.0,0.9636421093140467,0.0005687002712224476,0.9834919408954974,0.9982593703347741,0.7515717894147298,0.16636500740088014,0.049028344214907406,0.1590296404939445,0.16242128621314755,0.1553732801153723,0.008885154045465447,,0.00640865361065527,0.0007430998006221073
Fwd IAT Max,0.2516561108062877,-0.004396120894001422,-0.1721122733820125,0.8575354228420762,0.0011421472217637365,0.08358732718467977,-0.01693528721654262,0.016646679023913893,-0.1810756959121741,-0.1786034071366858,-0.1816123195747085,-0.034055067387995124,0.08244162967541872,-0.00387015498800984,0.06165694598431109,0.08125150012666106,-0.31396787704869505,-0.43272161954240834,-0.4120652873606125,-0.010874418383129874,0.9994361855821412,0.012678606469213463,0.9595062057968102,0.9636421093140467,1.0,0.012731471090340018,0.9720724804697285,0.9701571427052047,0.8576163317178681,0.26463266867121943,0.06661042706903665,0.22423843827657794,0.23758949853330574,0.2642900235010505,0.022013543965798087,,0.005631397600133746,0.000658380235058929
Fwd IAT Min,-0.0014435933932061553,-0.0003468584337367899,-0.004093312459997837,0.006672975941524852,-1.056659853548614e-05,6.584797832910761e-05,-0.00030252418203693493,-2.076648019277928e-06,-0.0011133634005262845,-0.0011731619001279197,-0.0011467720953541656,0.0021429693365454324,-1.530253766729995e-05,-2.143063599009296e-05,-2.0039668768272114e-05,-1.7002972991696627e-05,-0.0012040379797071746,-0.0016626726768022816,-0.0015845035446313228,-3.6463485842899054e-05,0.012720151655167577,0.9966575609770026,0.041125846785222415,0.0005687002712224476,0.012731471090340018,1.0,0.039645860516241534,0.0004775292480938939,0.006673970805367302,-2.6851100778122685e-05,0.00011356127839526578,-2.5436512289220612e-05,-2.5865204183973342e-05,-2.682786762417773e-05,0.02486841642538752,,5.5842484563612195e-05,2.2717411317138167e-06
Fwd IAT Mean,0.2803883517127745,-0.002218329549715816,-0.1551171129857007,0.8366630614214923,0.000788930606277887,0.03693137410793439,-0.01533293891675048,0.0005705250863848164,-0.19308403168019064,-0.1879446711274975,-0.1915200998739484,-0.06287965532402415,0.01386861789638482,-0.005428103705792208,0.00700300510314715,0.014229386420145958,-0.3434843693540701,-0.47340243693659184,-0.4506484807361385,-0.011892906436338224,0.9715461455550646,0.039504143689608355,0.9946260219292259,0.9834919408954974,0.9720724804697285,0.039645860516241534,1.0,0.9841516195977938,0.8367801906816129,0.19247668642025606,0.06154620461117512,0.19587548387184459,0.19612311482121716,0.17260475630803995,0.005952108297550283,,0.005175303630457856,0.0007196024001303908
Fwd IAT Std,0.305492714164316,-0.003186127795212313,-0.12857365066207455,0.758867374240211,0.00039644245909150813,0.04427422185250609,-0.017740802041179653,0.0036918373502895364,-0.1973399554913392,-0.19261887146977996,-0.19630115361756617,-0.059822259794001756,0.03715518775861468,-0.005258512203810019,0.02475873356779407,0.037540967040456646,-0.3674407230389869,-0.5064197942518617,-0.48193295638444794,-0.01271868914900802,0.9696188516711938,0.0004611538535346897,0.9813191723074501,0.9982593703347741,0.9701571427052047,0.0004775292480938939,0.9841516195977938,1.0,0.758957879381466,0.1854107758130918,0.052384253424282066,0.1707644483123607,0.17660014065894272,0.17824467419702228,0.012538842107126512,,0.0064101691273617594,0.0007696065518310489
Fwd IAT Total,0.12498563308891855,-0.003731897240561051,-0.23452540021215681,0.9998808149698737,0.005382739857187742,0.09719676117400984,-0.008708159831987408,0.010760417341344843,-0.1337047655061525,-0.13314596928061392,-0.13490093055255373,-0.007651670343187136,0.06874457640130316,-0.002559086963731871,0.04752850713177063,0.06810838150046628,-0.180636938096794,-0.24895999518462167,-0.23735447430872292,-0.006263576906348691,0.8571439751856639,0.006656128204992724,0.81167817524308,0.7515717894147298,0.8576163317178681,0.006673970805367302,0.8367801906816129,0.758957879381466,1.0,0.339906376827429,0.08873742246916401,0.32022172453485487,0.3266761979504802,0.3437135043467409,0.012772677706920114,,0.0020763984327918897,0.0003795645608836435
Bwd IAT Max,0.005034392562119512,-0.005766799459431793,-0.09372823697014684,0.3409171249457661,0.003932081854461813,0.14277772324160293,-0.0047896739044081755,0.02108268591379749,-0.02366828043395916,-0.028719196977907865,-0.028283427536257698,0.0544411435469295,0.15009871348089085,0.0007234485624393437,0.11532435957405383,0.15188902865894144,-0.01736869707392506,-0.023938036313203463,-0.022835319675872507,-0.0006015201998443571,0.2666017889738942,-2.837687306054994e-05,0.14440518976980402,0.16636500740088014,0.26463266867121943,-2.6851100778122685e-05,0.19247668642025606,0.1854107758130918,0.339906376827429,1.0,0.018805235230648826,0.9478093853808683,0.9715652213673862,0.906958409427899,0.037430998274353026,,0.0014214120508621421,3.754811664843546e-05
Bwd IAT Min,0.004984584915648751,-0.003644114222255345,-0.12308489561368777,0.08886683346222833,0.0014657433498400563,0.04144036122374902,-0.00960816436074738,0.0012819324676286007,-0.03989731165515642,-0.0396584938564036,-0.039993577566221496,0.0005299289201899359,0.015513656698065315,0.051986676593728985,0.028597652636102113,0.01594682133799562,-0.024080285440159842,-0.03231394650846024,-0.031233704887592164,0.11442409018464447,0.06683775268226431,-3.7513764705479696e-05,0.050536113533234145,0.049028344214907406,0.06661042706903665,0.00011356127839526578,0.06154620461117512,0.052384253424282066,0.08873742246916401,0.018805235230648826,1.0,0.018216815991482956,0.01853401855723196,0.018768061008799186,0.00928174889461364,,0.0019497481610030267,-0.009397616404636423
Bwd IAT Mean,0.003429930161474605,-0.0021647110766747457,-0.08888834628218958,0.3212712175281767,0.002741513756546246,0.07033181434118248,-0.0062336256660331,0.001909614051928165,-0.02629166408771403,-0.027251792867542243,-0.027338864676338868,0.012552629095871858,0.03702816948372528,0.0007470819057767044,0.02479449239893464,0.03883701276796723,-0.01648132087338628,-0.0227150435176237,-0.021668676005171347,-0.0005709678589485973,0.2266065657311339,-2.6959874784127664e-05,0.15068986369997395,0.1590296404939445,0.22423843827657794,-2.5436512289220612e-05,0.19587548387184459,0.1707644483123607,0.32022172453485487,0.9478093853808683,0.018216815991482956,1.0,0.9943004140443799,0.799252364710959,0.015058908239367225,,0.0013487909682746645,3.511204223585698e-05
Bwd IAT Std,0.003882262104473052,-0.00313628029412948,-0.09038089299250955,0.327654444993207,0.0026890106067888916,0.08578072253194717,-0.0059137841522498465,0.005445958793568529,-0.025675397863192798,-0.027709343168918984,-0.02765066627812657,0.023969136430765935,0.06911540323176045,0.0007624207372882945,0.04880659766386779,0.07060969797749442,-0.016758013162995074,-0.0230964048871825,-0.022032465700697633,-0.0005808398736348147,0.23972616351925263,-2.7403284667374212e-05,0.14986189101627323,0.16242128621314755,0.23758949853330574,-2.5865204183973342e-05,0.19612311482121716,0.17660014065894272,0.3266761979504802,0.9715652213673862,0.01853401855723196,0.9943004140443799,1.0,0.8290846342330255,0.0224339684621928,,0.0013714348657376844,3.584016287735151e-05
Bwd IAT Total,0.006513325063127464,-0.010581184507390462,-0.09426872125043295,0.3447023582483131,0.00817180980075879,0.23790232985939375,-0.0027511487329963447,0.032755630662680287,-0.01868776032612815,-0.02866644722060812,-0.027613723355923138,0.10719523626297392,0.2580188749902977,0.0005448233799421618,0.18285746056331803,0.2595322698613569,-0.017336664335287792,-0.023893792647847596,-0.02279311408366776,-0.0005998416142788402,0.2658700349663147,-2.824618618270684e-05,0.12487519145608868,0.1553732801153723,0.2642900235010505,-2.682786762417773e-05,0.17260475630803995,0.17824467419702228,0.3437135043467409,0.906958409427899,0.018768061008799186,0.799252364710959,0.8290846342330255,1.0,0.04321337729942862,,0.0014187916126192507,3.8043199069274867e-05
Fwd PSH Flags,0.007579003324661528,-0.017064618100947716,-0.060833981663130234,0.012977023259402993,-8.124100951502504e-06,0.02502614663329385,-0.0038141507482846075,0.002641803540530003,-0.01587000284535798,-0.01840365104800673,-0.017490683983979897,0.05266180719337545,0.015890756705833214,0.041100371461735855,0.03163966162195369,0.018864213142820784,-0.010621566315178247,-0.0062432212827223145,-0.006217684169683839,0.005658160142967472,0.022373716443978234,0.025005886813972894,0.0023489735064305675,0.008885154045465447,0.022013543965798087,0.02486841642538752,0.005952108297550283,0.012538842107126512,0.012772677706920114,0.037430998274353026,0.00928174889461364,0.015058908239367225,0.0224339684621928,0.04321337729942862,1.0,,0.000923427040577694,2.3877404285011435e-05
Bwd PSH Flags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fwd Header Length,0.01449763447985009,-6.470378062385509e-05,-0.01516330661050348,0.002082708824612264,-0.005359338030632759,0.001059755646314091,-0.08963638802799576,0.00010802352192071432,-0.0037087573401203755,-0.0025016116836308632,-0.0034762704151823174,-0.011246831080469625,0.0008092613031153912,0.0010738099800518407,0.0010530748496065056,0.0009078864476814516,0.0056647910755849695,0.016425947517930337,0.015051834773312475,0.00222479459425555,0.005639725100996177,5.908344745359145e-05,0.005091901203513915,0.00640865361065527,0.005631397600133746,5.5842484563612195e-05,0.005175303630457856,0.0064101691273617594,0.0020763984327918897,0.0014214120508621421,0.0019497481610030267,0.0013487909682746645,0.0013714348657376844,0.0014187916126192507,0.000923427040577694,,1.0,0.0005348600082869058
